Categoria: Todas as categorias

Cidade,Empreendedorismo: (19/09/2017 – 19/09/2022)
Sobral,100
Acaraú,97
Santa Quitéria,88
Juazeiro do Norte,88
Maracanaú,81
Crato,73
Limoeiro do Norte,73
Quixeramobim,71
Caucaia,69
Fortaleza,63
Eusébio,61
Campos Sales,
Pedra Branca,
Aprazível,
Jaguaribe,
Trairi,
Independência,
Vila de Jericoacoara,
Baturité,
Crateús,
Ipu,
São Gonçalo do Amarante,
Tianguá,
Mauriti,
Tauá,
Tapuio,
Aracati,
Pacajus,
Guaraciaba do Norte,
Viçosa do Ceará,
Russas,
Icó,
Iguatu,
Paracuru,
Maranguape,
Jaguaruana,
Pentecoste,
Brejinho,
Quixadá,
Icapuí,
Irauçuba,
Camocim,
São Benedito,
Canindé,
Pacatuba,
Cascavel,
Horizonte,
Aquiraz,
Itapagé,
Beberibe,
Barbalha,
Missão Velha,
Aurora,
Itapipoca,
Itaitinga,
Boa Vista do Caxitoré,
São José do Torto,
Majorlândia,
Ibiapina,
Milagres,
Pecém,
Barro,
Sítio Alegre,
Quitaiús,
