Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Guarabira,100
Santa Rita,92
Esperança,87
João Pessoa,75
Bayeux,74
Patos,70
Cabedelo,69
Campina Grande,69
Cajazeiras,61
Sousa,59
Riacho de Santo Antônio,
Boa Vista,
Aroeiras,
Mari,
Cuité,
Ingá,
Monteiro,
Queimadas,
Mamanguape,
Teixeira,
Brejo do Cruz,
Piancó,
Catolé do Rocha,
Itabaiana,
Pedras de Fogo,
Coremas,
Lucena,
São João do Rio do Peixe,
Alagoa Grande,
Belém,
Conde,
Icó,
Areia,
Pombal,
São José de Piranhas,
Uiraúna,
Juazeirinho,
Tavares,
São José da Lagoa Tapada,
