Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Várzea Grande,100
Pontes e Lacerda,99
Alta Floresta,99
Campo Verde,98
Barra do Garças,92
Cuiabá,91
Sorriso,89
Rondonópolis,88
Campo Novo do Parecis,83
Sinop,81
Cáceres,80
Lucas do Rio Verde,77
Tangará da Serra,77
Nova Mutum,68
Primavera do Leste,66
Comodoro,
Feliz Natal,
Guarantã do Norte,
Mirassol D'Oeste,
Paranatinga,
Juína,
Colíder,
Jaciara,
Juara,
Água Boa,
Diamantino,
Barra do Bugres,
Poxoréo,
Aragarças,
Confresa,
Pontal do Araguaia,
Peixoto de Azevedo,
São José dos Quatro Marcos,
Poconé,
Pedra Preta,
Nobres,
Nova Xavantina,
Nova Canaã do Norte,
Castanheira,
Tabaporã,
Santo Antônio do Leverger,
Sapezal,
