Category: All categories

City,empreendedora: (9/15/17 - 9/15/22)
Fortaleza,100
Pedra Branca,
Santa Quitéria,
Trairi,
Itapagé,
Milagres,
Guaraciaba do Norte,
Barbalha,
Horizonte,
Aquiraz,
Beberibe,
Quixadá,
Tauá,
Aracati,
Caucaia,
Limoeiro do Norte,
Paracuru,
Crato,
Juazeiro do Norte,
Sobral,
Pacatuba,
Iguatu,
Maranguape,
São Gonçalo do Amarante,
Icó,
Maracanaú,
Majorlândia,
Itapipoca,
Irauçuba,
Barro,
Aurora,
Cascavel,
Jaguaribe,
Canindé,
Pentecoste,
Icapuí,
Missão Velha,
Jaguaruana,
Pacajus,
Crateús,
Russas,
Itaitinga,
Eusébio,
Tianguá,
Camocim,
Baturité,
Viçosa do Ceará,
Campos Sales,
Acaraú,
Port of Pecem,
São Benedito,
Quitaiús,
Mauriti,
Ipu,
Ibiapina,
