Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Chapadão do Sul,100
Corumbá,95
Maracaju,90
Naviraí,82
Dourados,70
Campo Grande,70
Três Lagoas,63
Ponta Porã,50
Laguna Carapã,
Nova Alvorada do Sul,
Aral Moreira,
Guia Lopes da Laguna,
Porto Murtinho,
Glória de Dourados,
Ladário,
Jardim,
Rio Brilhante,
Iguatemi,
Deodápolis,
Cassilândia,
Bela Vista,
Aparecida do Taboado,
Caarapó,
Rio Verde de Mato Grosso,
Sidrolândia,
Amambaí,
Terenos,
São Gabriel do Oeste,
Aquidauana,
Bonito,
Paranaíba,
Coxim,
Água Clara,
Nova Andradina,
Miranda,
Ivinhema,
Anastácio,
Eldorado,
Bataguassu,
Mundo Novo,
Vila São Pedro,
Sete Quedas,
Paraíso das Águas,
