Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Conceição de Macabu,100
Três Rios,89
Iguaba Grande,81
Além Paraíba,79
Cachoeiras de Macacu,77
Santo Antônio de Pádua,76
Paraty,71
Teresópolis,71
Araruama,69
Saquarema,68
São João de Meriti,68
Maricá,67
Cabo Frio,67
Nova Friburgo,67
Barra Mansa,67
Valença,65
São Gonçalo,65
Itaboraí,65
Niterói,65
Guapimirim,65
Macaé,64
Itaperuna,64
Nova Iguaçu,62
Queimados,62
Belford Roxo,62
Angra dos Reis,61
Magé,61
Volta Redonda,61
Mesquita,61
Mangaratiba,61
Rio das Ostras,60
Itaguaí,60
Barra do Piraí,60
Nilópolis,60
Petrópolis,59
Rio Bonito,59
São Pedro da Aldeia,59
Paraíba do Sul,59
Duque de Caxias,58
Seropédica,57
Itatiaia,57
Casimiro de Abreu,56
Campos dos Goytacazes,56
Resende,55
Japeri,54
Rio de Janeiro,53
Porto Real,52
Bom Jesus do Itabapoana,49
Armação dos Búzios,44
Aré,
Rio das Flores,
Lumiar,
Macuco,
Santa Maria Madalena,
Laje do Muriaé,
Morro Azul,
Itaocara,
São José do Vale do Rio Preto,
Trajano de Morais,
Tanguá,
Bom Jardim,
Quissamã,
Engenheiro Paulo de Frontin,
Paty do Alferes,
Miguel Pereira,
Areal,
Piraí,
Pinheiral,
Arraial do Cabo,
São João da Barra,
Carapebus,
Cantagalo,
Aperibé,
Natividade,
Miracema,
Taquari,
Carmo,
São Fidélis,
Vassouras,
São Francisco de Itabapoana,
Paracambi,
Cardoso Moreira,
Cordeiro,
Rio Claro,
Sapucaia,
Cambuci,
Porciúncula,
Italva,
Silva Jardim,
Comendador Levy Gasparian,
Mendes,
Farol de São Thomé,
Nossa Senhora do Amparo,
Visconde de Mauá,
Varre-Sai,
Boa Vista,
