Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Capelinha,100
Coromandel,93
Igarapé,86
Pompéu,84
São Lourenço,82
Santa Bárbara,77
Vespasiano,75
Ubá,73
Janaúba,73
Extrema,72
Formiga,71
Porteirinha,69
Esmeraldas,69
Caxambu,68
Sabará,68
Oliveira,67
Paraopeba,67
Salinas,66
Betim,66
Divinópolis,66
Diamantina,64
Matozinhos,64
Visconde do Rio Branco,63
João Pinheiro,63
Ribeirão das Neves,62
Manhuaçu,62
Araçuaí,62
Santa Luzia,61
Timóteo,61
Curvelo,61
Paracatu,60
Ibirité,60
Itajubá,60
Sete Lagoas,60
São Francisco,59
Unaí,59
Pirapora,59
Congonhas,57
Lagoa Santa,57
Itabira,56
Montes Claros,56
Contagem,56
Governador Valadares,56
Passos,56
Uberaba,56
Lagoa da Prata,55
Varginha,54
Três Corações,54
Araxá,54
Santa Rita do Sapucaí,54
Bocaiúva,53
Guaxupé,53
Piumhi,53
Muriaé,52
Ituiutaba,52
Uberlândia,52
João Monlevade,52
Mariana,52
Santo Antônio do Monte,51
Bom Despacho,51
Belo Horizonte,51
Pouso Alegre,51
Juiz de Fora,51
Ipatinga,50
Cataguases,50
Patos de Minas,49
Campo Belo,49
Nova Serrana,49
Conselheiro Lafaiete,49
Coronel Fabriciano,49
Pará de Minas,48
Poços de Caldas,48
Araguari,48
Ponte Nova,48
Teófilo Otoni,47
Frutal,46
Itabirito,46
Nova Lima,46
Barbacena,46
São João Del Rei,45
Itaúna,45
Alfenas,43
Lavras,43
Jaíba,39
São João Batista do Glória,
Malacacheta,
Pequeri,
Verdelândia,
Lima Duarte,
Bonfim,
Areado,
Miraí,
Capim Branco,
Coqueiral,
Pedralva,
São José do Goiabal,
Campo do Meio,
Dores de Campos,
São Domingos do Prata,
Campanha,
Pains,
Francisco Sá,
Caldas,
Braúnas,
Januária,
Camanducaia,
Paraguaçu,
Itapecerica,
Mar de Espanha,
Raul Soares,
Rio Pardo de Minas,
São João Nepomuceno,
Cláudio,
Monte Sião,
Itamarandiba,
Cássia,
Matipó,
Itaobim,
São José da Lapa,
Araújos,
Senador Firmino,
Pitangui,
Rio Piracicaba,
Tiros,
Campos Gerais,
Prata,
Minas Novas,
Turmalina,
Brasília de Minas,
Cruzília,
Brasópolis,
São Bento Abade,
Carmópolis de Minas,
Bueno Brandão,
São Joaquim de Bicas,
Mário Campos,
Manhumirim,
Itapeva,
Santa Vitória,
Itapagipe,
Arinos,
Boa Esperança,
São Francisco de Paula,
Elói Mendes,
Capitão Enéas,
Vazante,
Alto Jequitibá,
Tupaciguara,
Taiobeiras,
Perdões,
Muzambinho,
Conceição do Mato Dentro,
Juatuba,
Jacutinga,
Brasilândia de Minas,
Almenara,
Bom Jardim de Minas,
Ilicínea,
Divino,
Tiradentes,
São Gonçalo do Sapucaí,
Caeté,
São Gotardo,
Abaeté,
Carangola,
Machado,
Carmo da Cachoeira,
Luz,
Conselheiro Pena,
Serro,
Alfredo Vasconcelos,
Piranguinho,
Cambuí,
Carandaí,
Bambuí,
Brumadinho,
Jaboticatubas,
Congonhal,
Aimorés,
Astolfo Dutra,
Careaçu,
Lambari,
Cristiano Otoni,
Nepomuceno,
Bicas,
Barão de Cocais,
Mateus Leme,
Barroso,
Monte Carmelo,
Itanhandu,
São Vicente de Minas,
Monte Santo de Minas,
Itaguara,
Três Marias,
Santa Rita de Ibitipoca,
Fortuna de Minas,
São Tiago,
Cordislândia,
Cabeceira Grande,
Santa Rita de Jacutinga,
