Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Baturité,100
Crateús,79
Maranguape,79
Limoeiro do Norte,78
Quixadá,77
Sobral,74
Horizonte,74
Quixeramobim,72
Canindé,72
Eusébio,70
São Gonçalo do Amarante,69
Tianguá,66
Pacatuba,64
Maracanaú,63
Caucaia,63
Fortaleza,61
Aquiraz,58
Juazeiro do Norte,58
Aracati,58
Camocim,55
Crato,52
Pacajus,52
Iguatu,50
Acaraú,36
Pedra Branca,
Tapuio,
São Benedito,
Jaguaribe,
Brejinho,
Pecém,
Boa Viagem,
Tauá,
Independência,
Cascavel,
Campos Sales,
Itaitinga,
Irauçuba,
Ipu,
Guaraciaba do Norte,
Aurora,
Viçosa do Ceará,
Missão Velha,
Icapuí,
Ibiapina,
Barro,
Beberibe,
Itapagé,
Jaguaruana,
Russas,
Barbalha,
Paracuru,
Santa Quitéria,
Trairi,
Vila de Jericoacoara,
Milagres,
Icó,
Mauriti,
Itapipoca,
Pentecoste,
Currais,
Majorlândia,
Sítio Alegre,
Aprazível,
Quitaiús,
Deserto,
