Categoria: Todas as categorias

Cidade,Empreendedor: (19/09/2017 – 19/09/2022)
Porto Ferreira,100
Mairiporã,93
Jundiaí,87
Várzea Paulista,84
Severínia,78
Tremembé,75
Itanhaém,75
Capão Bonito,73
Louveira,72
Registro,72
Campo Limpo Paulista,71
Osasco,71
Juquitiba,70
Bauru,69
Cruzeiro,68
Pedreira,68
Salto,67
Taubaté,67
Votorantim,66
Cajamar,66
São Roque,65
Itapetininga,64
Lins,64
Hortolândia,64
Limeira,64
Nova Odessa,64
Santa Isabel,64
Santa Cruz do Rio Pardo,63
Ibitinga,62
Peruíbe,62
Sorocaba,62
Cotia,62
Lençóis Paulista,61
Taboão da Serra,61
Mogi das Cruzes,61
São João da Boa Vista,61
Caçapava,61
Birigui,61
Jaguariúna,60
Porto Feliz,60
São José dos Campos,60
Mirassol,60
Ribeirão Pires,60
Botucatu,60
São José do Rio Preto,59
Santos,59
Franco da Rocha,59
Mongaguá,59
Suzano,58
Francisco Morato,58
São Paulo,58
Artur Nogueira,58
Lorena,58
Marília,58
Jacareí,58
Ourinhos,58
Poá,58
Praia Grande,57
Franca,57
Sumaré,57
São Carlos,57
Atibaia,57
Itupeva,56
Embu das Artes,56
Itatiba,55
Arujá,55
Itapevi,55
Barueri,54
Monte Mor,54
Rio Claro,53
Santana de Parnaíba,53
Santo André,53
Votuporanga,53
Caraguatatuba,52
Bertioga,51
Rafard,
Sarutaiá,
Sete Barras,
Anhembi,
Ipaussu,
Pereiras,
Torre de Pedra,
Urupês,
Cardoso,
Salesópolis,
Quintana,
Chavantes,
Osvaldo Cruz,
Ribeira,
Piquete,
Santa Rita do Ribeira,
Riversul,
Charqueada,
Pedrinhas Paulista,
Santo Antônio do Pinhal,
Ribeirão do Sul,
Ouro Verde,
Cabrália Paulista,
Itariri,
Tarumã,
Campos Novos Paulista,
Rosana,
Pedregulho,
Santo Antônio de Posse,
Teodoro Sampaio,
Iepê,
Cananéia,
Buritizal,
Junqueirópolis,
Itapuí,
Jardinópolis,
Monte Castelo,
Piracaia,
Barão de Antonina,
Borborema,
Angatuba,
Tabatinga,
Guararema,
Engenheiro Coelho,
Morungaba,
Pirajuí,
São Pedro,
Biritiba-Mirim,
Conchal,
Santa Branca,
Pilar do Sul,
Estrela D'Oeste,
Pedro de Toledo,
Rancharia,
Flórida Paulista,
Mineiros do Tietê,
Panorama,
Bastos,
Itajobi,
Ribeirão Bonito,
Ilha Comprida,
Bariri,
Caconde,
Conchas,
Mairinque,
Quatá,
Sarapuí,
Areiópolis,
Itapeva,
Jandira,
Apiaí,
Pirapora do Bom Jesus,
Palmares Paulista,
São Manuel,
Ribeirão Grande,
Cravinhos,
Salto de Pirapora,
Dois Córregos,
Capela do Alto,
Echaporã,
São Lourenço da Serra,
São Simão,
Pompéia,
Rio das Pedras,
Presidente Venceslau,
Socorro,
Casa Branca,
Divinolândia,
Patrocínio Paulista,
Paraguaçu Paulista,
Potirendaba,
Potim,
Bernardino de Campos,
Descalvado,
São Luís do Paraitinga,
Cordeirópolis,
Taquaritinga,
Santa Fé do Sul,
Itararé,
Taciba,
Laranjal Paulista,
Cajuru,
José Bonifácio,
Monte Aprazível,
Pariquera-Açu,
Campina do Monte Alegre,
Santa Cruz da Conceição,
Iguape,
Taquarivaí,
Paranapanema,
Estiva Gerbi,
Capelinha,
Viradouro,
Piraju,
Jacupiranga,
Brotas,
Pardinho,
Serra Azul,
Taguaí,
Indiana,
Tejupá,
Barra do Chapéu,
Jaci,
Euclides da Cunha Paulista,
Bocaina,
